,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26736,29800492,2,2,0,0,0,0,0,0,0,0,1,Indiana Pacers,38.0,91.0,W,27.0,15.0,24.0,17,1999,4
26737,29800493,4,2,1,2,0,0,1,0,0,0,0,Cleveland Cavaliers,30.0,91.0,L,18.0,18.0,25.0,-8,1999,10
26738,29800494,1,6,3,3,0,0,0,0,0,0,1,Minnesota Timberwolves,40.0,82.0,L,19.0,19.0,18.0,-8,1999,13
26739,29800495,4,3,4,2,0,0,0,0,0,0,1,Los Angeles Lakers,45.0,104.0,W,18.0,22.0,23.0,15,1999,13
26740,29800496,4,5,2,3,0,0,0,0,0,0,1,Denver Nuggets,43.0,87.0,W,15.0,16.0,26.0,3,1999,14
26741,29800497,5,6,1,0,0,0,0,0,0,0,0,Boston Celtics,40.0,101.0,W,23.0,18.0,24.0,12,1999,12
26742,29800498,5,3,2,7,0,0,0,0,0,0,0,Orlando Magic,53.0,73.0,W,17.0,16.0,23.0,4,1999,17
26743,29800499,5,2,2,0,0,0,0,0,0,0,0,San Antonio Spurs,44.0,92.0,W,27.0,14.0,25.0,9,1999,9
26744,29800501,7,5,1,0,0,0,0,0,0,0,0,Minnesota Timberwolves,38.0,91.0,L,18.0,12.0,25.0,-8,1999,13
26745,29800502,4,6,0,4,0,0,0,0,0,0,0,Portland Trail Blazers,44.0,86.0,L,15.0,13.0,19.0,-1,1999,14
26746,29800503,4,6,0,2,0,0,0,0,0,0,1,Philadelphia 76ers,51.0,83.0,W,13.0,12.0,13.0,16,1999,12
26747,29800505,3,3,0,2,0,1,0,0,0,0,0,Milwaukee Bucks,37.0,83.0,L,19.0,21.0,23.0,-12,1999,8
26748,29800506,1,2,0,6,0,0,0,0,0,0,2,Washington Wizards,46.0,88.0,L,25.0,14.0,24.0,-2,1999,9
26749,29800507,4,2,0,0,0,0,1,0,0,0,1,New York Knicks,40.0,86.0,W,17.0,10.0,24.0,8,1999,7
26750,29800508,2,3,0,0,0,0,0,0,0,0,0,Detroit Pistons,24.0,102.0,W,19.0,16.0,28.0,1,1999,5
